numJobs,name,stateAbbreviation,stateName,id,latitude,longitude,category_id
9379,"New York, NY",NY,New York,1132348,40.71417,-74.00639,1
5244,"Chicago, IL",IL,Illinois,1128808,41.85,-87.65,1
3613,"Houston, TX",TX,Texas,1140171,29.76306,-95.36306,1
3520,"Atlanta, GA",GA,Georgia,1155583,33.74889,-84.38806,1
3448,"Dallas, TX",TX,Texas,1139977,32.78333,-96.8,1
3371,"San Francisco, CA",CA,California,1147401,37.775,-122.41833,1
3261,"Los Angeles, CA",CA,California,1146821,34.05222,-118.24278,1
2874,"Boston, MA",MA,Massachusetts,1154532,42.35833,-71.06028,1
2797,"Washington, DC",DC,District of Columbia,1138213,38.895,-77.03667,1
2059,"Seattle, WA",WA,Washington,1150505,47.60639,-122.33083,1
2053,"Pittsburgh, PA",PA,Pennsylvania,1152990,40.44056,-79.99611,1
1959,"Phoenix, AZ",AZ,Arizona,1133904,33.44833,-112.07333,1
1936,"Philadelphia, PA",PA,Pennsylvania,1152672,39.95222,-75.16417,1
1935,"Austin, TX",TX,Texas,1139761,30.26694,-97.74278,1
1875,"San Diego, CA",CA,California,1147311,32.71528,-117.15639,1
1754,"Charlotte, NC",NC,North Carolina,1138644,35.22694,-80.84333,1
1719,"Denver, CO",CO,Colorado,1148170,39.73917,-104.98417,1
1586,"Saint Louis, MO",MO,Missouri,1131270,38.636864,-90.28388,1
1567,"San Antonio, TX",TX,Texas,1140494,29.42389,-98.49333,1
1528,"Indianapolis, IN",IN,Indiana,1145013,39.76833,-86.15806,1
1405,"Tampa, FL",FL,Florida,1154429,27.94722,-82.45861,1
1396,"Miami, FL",FL,Florida,1154170,25.77389,-80.19389,1
1339,"Orlando, FL",FL,Florida,1154247,28.53806,-81.37944,1
1329,"Columbus, OH",OH,Ohio,1145845,39.96111,-82.99889,1
1321,"Cincinnati, OH",OH,Ohio,1145705,39.16194,-84.45694,1
1269,"Portland, OR",OR,Oregon,1151614,45.52361,-122.675,1
1239,"Minneapolis, MN",MN,Minnesota,1142551,44.98,-93.26361,1
1238,"Nashville, TN",TN,Tennessee,1144541,36.16583,-86.78444,1
1202,"Las Vegas, NV",NV,Nevada,1149603,36.175,-115.13639,1
1189,"San Jose, CA",CA,California,1147436,37.33944,-121.89389,1
1168,"Baltimore, MD",MD,Maryland,1153527,39.29028,-76.6125,1
1074,"Cleveland, OH",OH,Ohio,1145778,41.49944,-81.69556,1
1064,"Irvine, CA",CA,California,1146798,33.66944,-117.82222,1
1005,"Jacksonville, FL",FL,Florida,1154093,30.33194,-81.65583,1
977,"Louisville, KY",KY,Kentucky,1137724,38.25417,-85.75944,1
959,"Salt Lake City, UT",UT,Utah,1128289,40.76083,-111.89028,1
956,"McLean, VA",VA,Virginia,1158535,38.93417,-77.17778,1
940,"Kansas City, MO",MO,Missouri,1131040,39.09972,-94.57833,1
894,"Richmond, VA",VA,Virginia,1130198,37.55361,-77.46056,1
847,"Sacramento, CA",CA,California,1147229,38.58167,-121.49333,1
846,"Milwaukee, WI",WI,Wisconsin,1133579,43.03889,-87.90639,1
835,"Irving, TX",TX,Texas,1140006,32.81389,-96.94861,1
803,"Fort Worth, TX",TX,Texas,1139993,32.72528,-97.32056,1
792,"Oklahoma City, OK",OK,Oklahoma,1136950,35.4675,-97.51611,1
783,"Omaha, NE",NE,Nebraska,1136440,41.25861,-95.9375,1
778,"Raleigh, NC",NC,North Carolina,1138960,35.77194,-78.63889,1
774,"Arlington, VA",VA,Virginia,1130337,38.89028,-77.08444,1
757,"Detroit, MI",MI,Michigan,1134644,42.33139,-83.04583,1
723,"Memphis, TN",TN,Tennessee,1144463,35.14944,-90.04889,1
673,"Fort Lauderdale, FL",FL,Florida,1154160,26.12194,-80.14361,1
608,"Tucson, AZ",AZ,Arizona,1133996,32.22167,-110.92583,1
596,"Bellevue, WA",WA,Washington,1150442,47.61056,-122.19944,1
559,"Birmingham, AL",AL,Alabama,1127429,33.52056,-86.8025,1
545,"Scottsdale, AZ",AZ,Arizona,1133911,33.50917,-111.89833,1
541,"Plano, TX",TX,Texas,1140045,33.01972,-96.69861,1
537,"Buffalo, NY",NY,New York,1131850,42.88639,-78.87861,1
524,"Alpharetta, GA",GA,Georgia,1155582,34.07528,-84.29417,1
510,"Madison, WI",WI,Wisconsin,1133470,43.07306,-89.40111,1
501,"Stamford, CT",CT,Connecticut,1148355,41.05333,-73.53917,1
494,"Tulsa, OK",OK,Oklahoma,1137055,36.15389,-95.9925,1
493,"Jersey City, NJ",NJ,New Jersey,1126819,40.72806,-74.07806,1
471,"Hartford, CT",CT,Connecticut,1148399,41.76361,-72.68556,1
469,"Knoxville, TN",TN,Tennessee,1144394,35.96056,-83.92083,1
464,"Overland Park, KS",KS,Kansas,1151049,38.98222,-94.67056,1
459,"Des Moines, IA",IA,Iowa,1149246,41.60056,-93.60889,1
459,"Rochester, NY",NY,New York,1132765,43.15472,-77.61583,1
458,"Albuquerque, NM",NM,New Mexico,1137959,35.08444,-106.65056,1
