numJobs,name,stateAbbreviation,stateName,id,latitude,longitude,category_id
470,"New York, NY",NY,New York,1132348,40.71417,-74.00639,21
363,"Houston, TX",TX,Texas,1140171,29.76306,-95.36306,21
342,"Chicago, IL",IL,Illinois,1128808,41.85,-87.65,21
295,"Dallas, TX",TX,Texas,1139977,32.78333,-96.8,21
269,"Atlanta, GA",GA,Georgia,1155583,33.74889,-84.38806,21
242,"Los Angeles, CA",CA,California,1146821,34.05222,-118.24278,21
236,"Austin, TX",TX,Texas,1139761,30.26694,-97.74278,21
208,"San Francisco, CA",CA,California,1147401,37.775,-122.41833,21
188,"Phoenix, AZ",AZ,Arizona,1133904,33.44833,-112.07333,21
187,"San Antonio, TX",TX,Texas,1140494,29.42389,-98.49333,21
177,"Denver, CO",CO,Colorado,1148170,39.73917,-104.98417,21
169,"Washington, DC",DC,District of Columbia,1138213,38.895,-77.03667,21
165,"Seattle, WA",WA,Washington,1150505,47.60639,-122.33083,21
162,"San Diego, CA",CA,California,1147311,32.71528,-117.15639,21
156,"Boston, MA",MA,Massachusetts,1154532,42.35833,-71.06028,21
155,"Orlando, FL",FL,Florida,1154247,28.53806,-81.37944,21
153,"Charlotte, NC",NC,North Carolina,1138644,35.22694,-80.84333,21
132,"Tampa, FL",FL,Florida,1154429,27.94722,-82.45861,21
132,"Arlington, VA",VA,Virginia,1130337,38.89028,-77.08444,21
131,"Indianapolis, IN",IN,Indiana,1145013,39.76833,-86.15806,21
123,"Nashville, TN",TN,Tennessee,1144541,36.16583,-86.78444,21
118,"Portland, OR",OR,Oregon,1151614,45.52361,-122.675,21
115,"Las Vegas, NV",NV,Nevada,1149603,36.175,-115.13639,21
113,"San Jose, CA",CA,California,1147436,37.33944,-121.89389,21
108,"Cincinnati, OH",OH,Ohio,1145705,39.16194,-84.45694,21
97,"Raleigh, NC",NC,North Carolina,1138960,35.77194,-78.63889,21
94,"Columbus, OH",OH,Ohio,1145845,39.96111,-82.99889,21
93,"Baltimore, MD",MD,Maryland,1153527,39.29028,-76.6125,21
93,"Miami, FL",FL,Florida,1154170,25.77389,-80.19389,21
93,"Minneapolis, MN",MN,Minnesota,1142551,44.98,-93.26361,21
91,"Sacramento, CA",CA,California,1147229,38.58167,-121.49333,21
90,"Jacksonville, FL",FL,Florida,1154093,30.33194,-81.65583,21
87,"Fort Worth, TX",TX,Texas,1139993,32.72528,-97.32056,21
84,"Richmond, VA",VA,Virginia,1130198,37.55361,-77.46056,21
84,"Saint Louis, MO",MO,Missouri,1131270,38.636864,-90.28388,21
79,"Philadelphia, PA",PA,Pennsylvania,1152672,39.95222,-75.16417,21
78,"Pittsburgh, PA",PA,Pennsylvania,1152990,40.44056,-79.99611,21
73,"Birmingham, AL",AL,Alabama,1127429,33.52056,-86.8025,21
73,"Kansas City, MO",MO,Missouri,1131040,39.09972,-94.57833,21
69,"Omaha, NE",NE,Nebraska,1136440,41.25861,-95.9375,21
69,"Plano, TX",TX,Texas,1140045,33.01972,-96.69861,21
63,"Louisville, KY",KY,Kentucky,1137724,38.25417,-85.75944,21
61,"Memphis, TN",TN,Tennessee,1144463,35.14944,-90.04889,21
61,"Tucson, AZ",AZ,Arizona,1133996,32.22167,-110.92583,21
59,"Cleveland, OH",OH,Ohio,1145778,41.49944,-81.69556,21
56,"Baton Rouge, LA",LA,Louisiana,1149789,30.45056,-91.15444,21
55,"Albuquerque, NM",NM,New Mexico,1137959,35.08444,-106.65056,21
54,"Columbia, SC",SC,South Carolina,1155132,34.00056,-81.035,21
53,"Irvine, CA",CA,California,1146798,33.66944,-117.82222,21
49,"Salt Lake City, UT",UT,Utah,1128289,40.76083,-111.89028,21
49,"Des Moines, IA",IA,Iowa,1149246,41.60056,-93.60889,21
49,"Tempe, AZ",AZ,Arizona,1133917,33.41472,-111.90861,21
49,"Milwaukee, WI",WI,Wisconsin,1133579,43.03889,-87.90639,21
48,"Alexandria, VA",VA,Virginia,1130334,38.79755,-77.08908,21
47,"Irving, TX",TX,Texas,1140006,32.81389,-96.94861,21
44,"Scottsdale, AZ",AZ,Arizona,1133911,33.50917,-111.89833,21
43,"Knoxville, TN",TN,Tennessee,1144394,35.96056,-83.92083,21
43,"Madison, WI",WI,Wisconsin,1133470,43.07306,-89.40111,21
42,"Greensboro, NC",NC,North Carolina,1138755,36.0725,-79.79222,21
41,"Tulsa, OK",OK,Oklahoma,1137055,36.15389,-95.9925,21
41,"Santa Clara, CA",CA,California,1147439,37.35417,-121.95417,21
40,"Tallahassee, FL",FL,Florida,1154378,30.43806,-84.28083,21
40,"Wilmington, NC",NC,North Carolina,1139117,34.22556,-77.945,21
39,"Fresno, CA",CA,California,1146705,36.74778,-119.77139,21
39,"Brooklyn, NY",NY,New York,1132200,40.65,-73.95,21
39,"Oakland, CA",CA,California,1147380,37.80444,-122.26972,21
38,"Detroit, MI",MI,Michigan,1134644,42.33139,-83.04583,21
38,"Orange, CA",CA,California,1146843,33.78778,-117.85222,21
38,"Oklahoma City, OK",OK,Oklahoma,1136950,35.4675,-97.51611,21
38,"Reno, NV",NV,Nevada,1149627,39.52972,-119.81278,21
37,"Fort Myers, FL",FL,Florida,1154016,26.64028,-81.8725,21
36,"Lexington-Fayette, KY",KY,Kentucky,3749474,38.04972,-84.45861,21
36,"Aurora, CO",CO,Colorado,1148156,39.72944,-104.83139,21
35,"Lincoln, NE",NE,Nebraska,1136371,40.8,-96.66667,21
35,"Martinsburg, WV",WV,West Virginia,1143899,39.45611,-77.96417,21
35,"Fort Lauderdale, FL",FL,Florida,1154160,26.12194,-80.14361,21
35,"Virginia Beach, VA",VA,Virginia,1130324,36.85278,-75.97833,21
34,"Anaheim, CA",CA,California,1146743,33.83528,-117.91361,21
34,"Henderson, NV",NV,Nevada,1149600,36.03972,-114.98111,21
34,"Mesa, AZ",AZ,Arizona,1133897,33.42222,-111.82194,21
34,"Englewood, CO",CO,Colorado,1148176,39.64778,-104.98722,21
33,"Corpus Christi, TX",TX,Texas,1139919,27.80028,-97.39611,21
33,"New Orleans, LA",LA,Louisiana,1150035,29.95444,-90.075,21
33,"Marietta, GA",GA,Georgia,1155654,33.9525,-84.55,21
33,"Colorado Springs, CO",CO,Colorado,1148136,38.83389,-104.82083,21
32,"Overland Park, KS",KS,Kansas,1151049,38.98222,-94.67056,21
32,"Rochester, NY",NY,New York,1132765,43.15472,-77.61583,21
31,"Bethesda, MD",MD,Maryland,1153817,38.98056,-77.10056,21
31,"Saint Petersburg, FL",FL,Florida,1154421,27.77056,-82.67944,21
31,"El Paso, TX",TX,Texas,1140105,31.75861,-106.48639,21
31,"College Station, TX",TX,Texas,1139900,30.62778,-96.33417,21
31,"Vancouver, WA",WA,Washington,1150413,45.63889,-122.66028,21
30,"Jersey City, NJ",NJ,New Jersey,1126819,40.72806,-74.07806,21
30,"West Palm Beach, FL",FL,Florida,1154182,26.715,-80.05361,21
30,"Fairfax, VA",VA,Virginia,1130359,38.84611,-77.30667,21
30,"Tacoma, WA",WA,Washington,1150517,47.25306,-122.44306,21
30,"Bellevue, WA",WA,Washington,1150442,47.61056,-122.19944,21
29,"Greenville, SC",SC,South Carolina,1155193,34.8525,-82.39417,21
29,"Ann Arbor, MI",MI,Michigan,1134560,42.27083,-83.72639,21
28,"Santa Ana, CA",CA,California,1146870,33.74556,-117.86694,21
27,"Laurel, MD",MD,Maryland,1153871,39.09917,-76.84861,21
27,"Huntsville, AL",AL,Alabama,1127653,34.73028,-86.58611,21
27,"Tuscaloosa, AL",AL,Alabama,1127776,33.20972,-87.56917,21
27,"Kissimmee, FL",FL,Florida,1154232,28.29167,-81.40778,21
27,"Naperville, IL",IL,Illinois,1128928,41.78583,-88.14722,21
27,"Albany, NY",NY,New York,1131650,42.6525,-73.75667,21
27,"Lubbock, TX",TX,Texas,1140320,33.57778,-101.85472,21
27,"McLean, VA",VA,Virginia,1158535,38.93417,-77.17778,21
27,"Savannah, GA",GA,Georgia,1155906,32.08333,-81.1,21
26,"Chattanooga, TN",TN,Tennessee,1144251,35.04556,-85.30972,21
26,"Grand Rapids, MI",MI,Michigan,1134796,42.96333,-85.66806,21
26,"Toledo, OH",OH,Ohio,1146248,41.66389,-83.55528,21
26,"Cerritos, CA",CA,California,1146763,33.85833,-118.06389,21
26,"Huntington Beach, CA",CA,California,1146795,33.66028,-117.99833,21
26,"Vienna, VA",VA,Virginia,1130417,38.90111,-77.26556,21
26,"Indian Springs, Clark, NV",NV,Nevada,1149601,36.56972,-115.66972,21
26,"Jean, NV",NV,Nevada,1149602,35.77889,-115.32306,21
26,"Cedar Rapids, IA",IA,Iowa,1149160,42.00833,-91.64389,21
26,"Buffalo, NY",NY,New York,1131850,42.88639,-78.87861,21
25,"Falls Church, VA",VA,Virginia,1130361,38.88222,-77.17139,21
25,"Boulder City, NV",NV,Nevada,1149597,35.97861,-114.83167,21
25,"Lewisville, TX",TX,Texas,1140022,33.047523,-96.99417,21
25,"Duluth, GA",GA,Georgia,1155612,34.00278,-84.14472,21
25,"Boulder, CO",CO,Colorado,1148112,40.015,-105.27,21
24,"York, PA",PA,Pennsylvania,1153468,39.9625,-76.72806,21
24,"South Bend, IN",IN,Indiana,1145268,41.68333,-86.25,21
24,"Arlington, TX",TX,Texas,1139951,32.73556,-97.10778,21
24,"Redmond, WA",WA,Washington,1150499,47.67417,-122.12028,21
24,"Durham, NC",NC,North Carolina,1138697,35.99389,-78.89889,21
24,"Walnut Creek, CA",CA,California,1147417,37.90639,-122.06389,21
24,"Saint Paul, MN",MN,Minnesota,1142575,44.94444,-93.09306,21
24,"Woodland Hills, CA",CA,California,1146915,34.16833,-118.605,21
24,"Riverside, CA",CA,California,1147138,33.95333,-117.39528,21
24,"Hartford, CT",CT,Connecticut,1148399,41.76361,-72.68556,21
23,"Gaithersburg, MD",MD,Maryland,1153852,39.14333,-77.20167,21
23,"Mobile, AL",AL,Alabama,1127676,30.69417,-88.04306,21
23,"Gainesville, FL",FL,Florida,1154062,29.65139,-82.325,21
23,"Norfolk, VA",VA,Virginia,1130306,36.84667,-76.28556,21
23,"Charleston, SC",SC,South Carolina,1155074,32.77639,-79.93111,21
23,"Carlsbad, CA",CA,California,1147279,33.15806,-117.34972,21
23,"Syracuse, NY",NY,New York,1132872,43.04806,-76.14778,21
22,"Little Rock, AR",AR,Arkansas,1143190,34.74639,-92.28944,21
22,"Asheville, NC",NC,North Carolina,1138579,35.60083,-82.55417,21
22,"Newport Beach, CA",CA,California,1146837,33.61889,-117.92806,21
22,"Carmel, IN",IN,Indiana,1144991,39.97833,-86.11806,21
22,"Sunnyvale, CA",CA,California,1147442,37.36889,-122.03528,21
22,"Escondido, CA",CA,California,1147287,33.11917,-117.08556,21
21,"Sarasota, FL",FL,Florida,1154350,27.33611,-82.53083,21
21,"Santa Monica, CA",CA,California,1146873,34.01944,-118.49028,21
