numJobs,name,stateAbbreviation,stateName,id,latitude,longitude,category_id
1995,"New York, NY",NY,New York,1132348,40.71417,-74.00639,11
1513,"Houston, TX",TX,Texas,1140171,29.76306,-95.36306,11
1038,"Dallas, TX",TX,Texas,1139977,32.78333,-96.8,11
989,"Austin, TX",TX,Texas,1139761,30.26694,-97.74278,11
963,"Orlando, FL",FL,Florida,1154247,28.53806,-81.37944,11
954,"San Antonio, TX",TX,Texas,1140494,29.42389,-98.49333,11
875,"Atlanta, GA",GA,Georgia,1155583,33.74889,-84.38806,11
860,"Phoenix, AZ",AZ,Arizona,1133904,33.44833,-112.07333,11
857,"Chicago, IL",IL,Illinois,1128808,41.85,-87.65,11
850,"Denver, CO",CO,Colorado,1148170,39.73917,-104.98417,11
765,"Indianapolis, IN",IN,Indiana,1145013,39.76833,-86.15806,11
743,"Charlotte, NC",NC,North Carolina,1138644,35.22694,-80.84333,11
707,"Los Angeles, CA",CA,California,1146821,34.05222,-118.24278,11
653,"Seattle, WA",WA,Washington,1150505,47.60639,-122.33083,11
639,"Las Vegas, NV",NV,Nevada,1149603,36.175,-115.13639,11
636,"Nashville, TN",TN,Tennessee,1144541,36.16583,-86.78444,11
598,"San Diego, CA",CA,California,1147311,32.71528,-117.15639,11
579,"Philadelphia, PA",PA,Pennsylvania,1152672,39.95222,-75.16417,11
575,"Miami, FL",FL,Florida,1154170,25.77389,-80.19389,11
568,"Columbus, OH",OH,Ohio,1145845,39.96111,-82.99889,11
545,"San Francisco, CA",CA,California,1147401,37.775,-122.41833,11
518,"Louisville, KY",KY,Kentucky,1137724,38.25417,-85.75944,11
508,"Fort Worth, TX",TX,Texas,1139993,32.72528,-97.32056,11
496,"Tampa, FL",FL,Florida,1154429,27.94722,-82.45861,11
496,"Jacksonville, FL",FL,Florida,1154093,30.33194,-81.65583,11
496,"Washington, DC",DC,District of Columbia,1138213,38.895,-77.03667,11
476,"Portland, OR",OR,Oregon,1151614,45.52361,-122.675,11
454,"Kansas City, MO",MO,Missouri,1131040,39.09972,-94.57833,11
437,"Cincinnati, OH",OH,Ohio,1145705,39.16194,-84.45694,11
426,"Memphis, TN",TN,Tennessee,1144463,35.14944,-90.04889,11
416,"Salt Lake City, UT",UT,Utah,1128289,40.76083,-111.89028,11
414,"Boston, MA",MA,Massachusetts,1154532,42.35833,-71.06028,11
386,"Raleigh, NC",NC,North Carolina,1138960,35.77194,-78.63889,11
384,"San Jose, CA",CA,California,1147436,37.33944,-121.89389,11
382,"Baltimore, MD",MD,Maryland,1153527,39.29028,-76.6125,11
380,"Minneapolis, MN",MN,Minnesota,1142551,44.98,-93.26361,11
359,"Saint Louis, MO",MO,Missouri,1131270,38.636864,-90.28388,11
345,"New Orleans, LA",LA,Louisiana,1150035,29.95444,-90.075,11
324,"Pittsburgh, PA",PA,Pennsylvania,1152990,40.44056,-79.99611,11
306,"Richmond, VA",VA,Virginia,1130198,37.55361,-77.46056,11
306,"Sacramento, CA",CA,California,1147229,38.58167,-121.49333,11
305,"Cleveland, OH",OH,Ohio,1145778,41.49944,-81.69556,11
302,"Omaha, NE",NE,Nebraska,1136440,41.25861,-95.9375,11
299,"Oklahoma City, OK",OK,Oklahoma,1136950,35.4675,-97.51611,11
285,"Milwaukee, WI",WI,Wisconsin,1133579,43.03889,-87.90639,11
276,"Albuquerque, NM",NM,New Mexico,1137959,35.08444,-106.65056,11
274,"Reno, NV",NV,Nevada,1149627,39.52972,-119.81278,11
268,"Fort Lauderdale, FL",FL,Florida,1154160,26.12194,-80.14361,11
267,"Tucson, AZ",AZ,Arizona,1133996,32.22167,-110.92583,11
257,"Knoxville, TN",TN,Tennessee,1144394,35.96056,-83.92083,11
256,"Charleston, SC",SC,South Carolina,1155074,32.77639,-79.93111,11
245,"Bethesda, MD",MD,Maryland,1153817,38.98056,-77.10056,11
241,"Virginia Beach, VA",VA,Virginia,1130324,36.85278,-75.97833,11
241,"Grand Rapids, MI",MI,Michigan,1134796,42.96333,-85.66806,11
237,"Madison, WI",WI,Wisconsin,1133470,43.07306,-89.40111,11
229,"Birmingham, AL",AL,Alabama,1127429,33.52056,-86.8025,11
229,"Scottsdale, AZ",AZ,Arizona,1133911,33.50917,-111.89833,11
226,"Detroit, MI",MI,Michigan,1134644,42.33139,-83.04583,11
211,"Aurora, CO",CO,Colorado,1148156,39.72944,-104.83139,11
208,"Anaheim, CA",CA,California,1146743,33.83528,-117.91361,11
207,"Newark, NJ",NJ,New Jersey,1126906,40.73556,-74.17278,11
201,"Baton Rouge, LA",LA,Louisiana,1149789,30.45056,-91.15444,11
200,"Myrtle Beach, SC",SC,South Carolina,1155247,33.68889,-78.88694,11
198,"Irving, TX",TX,Texas,1140006,32.81389,-96.94861,11
198,"Greensboro, NC",NC,North Carolina,1138755,36.0725,-79.79222,11
195,"Tulsa, OK",OK,Oklahoma,1137055,36.15389,-95.9925,11
193,"Colorado Springs, CO",CO,Colorado,1148136,38.83389,-104.82083,11
191,"Alexandria, VA",VA,Virginia,1130334,38.79755,-77.08908,11
191,"Savannah, GA",GA,Georgia,1155906,32.08333,-81.1,11
189,"Arlington, VA",VA,Virginia,1130337,38.89028,-77.08444,11
178,"Saint Paul, MN",MN,Minnesota,1142575,44.94444,-93.09306,11
178,"Springfield, MO",MO,Missouri,1131348,37.21528,-93.29806,11
174,"Plano, TX",TX,Texas,1140045,33.01972,-96.69861,11
174,"Wichita, KS",KS,Kansas,1151230,37.69222,-97.33722,11
173,"Anchorage, AK",AK,Alaska,1134201,61.21806,-149.90028,11
171,"Fresno, CA",CA,California,1146705,36.74778,-119.77139,11
171,"Durham, NC",NC,North Carolina,1138697,35.99389,-78.89889,11
169,"Columbia, SC",SC,South Carolina,1155132,34.00056,-81.035,11
168,"Norfolk, VA",VA,Virginia,1130306,36.84667,-76.28556,11
168,"El Paso, TX",TX,Texas,1140105,31.75861,-106.48639,11
166,"Arlington, TX",TX,Texas,1139951,32.73556,-97.10778,11
165,"Greenville, SC",SC,South Carolina,1155193,34.8525,-82.39417,11
160,"Spokane, WA",WA,Washington,1150554,47.65889,-117.425,11
158,"Dayton, OH",OH,Ohio,1145937,39.75889,-84.19167,11
158,"Lexington-Fayette, KY",KY,Kentucky,3749474,38.04972,-84.45861,11
157,"West Palm Beach, FL",FL,Florida,1154182,26.715,-80.05361,11
154,"Brooklyn, NY",NY,New York,1132200,40.65,-73.95,11
153,"York, PA",PA,Pennsylvania,1153468,39.9625,-76.72806,11
152,"Chattanooga, TN",TN,Tennessee,1144251,35.04556,-85.30972,11
152,"Tempe, AZ",AZ,Arizona,1133917,33.41472,-111.90861,11
150,"Corpus Christi, TX",TX,Texas,1139919,27.80028,-97.39611,11
149,"Buffalo, NY",NY,New York,1131850,42.88639,-78.87861,11
148,"Honolulu, HI",HI,Hawaii,1140656,21.30694,-157.85834,11
147,"Kansas City, KS",KS,Kansas,4990210,39.11417,-94.62722,11
144,"Huntsville, AL",AL,Alabama,1127653,34.73028,-86.58611,11
143,"Mesa, AZ",AZ,Arizona,1133897,33.42222,-111.82194,11
143,"Ontario, CA",CA,California,1147122,34.06333,-117.65,11
141,"Naperville, IL",IL,Illinois,1128928,41.78583,-88.14722,11
140,"Rochester, NY",NY,New York,1132765,43.15472,-77.61583,11
139,"Boulder, CO",CO,Colorado,1148112,40.015,-105.27,11
136,"Irvine, CA",CA,California,1146798,33.66944,-117.82222,11
136,"Overland Park, KS",KS,Kansas,1151049,38.98222,-94.67056,11
136,"Ann Arbor, MI",MI,Michigan,1134560,42.27083,-83.72639,11
135,"Appleton, WI",WI,Wisconsin,1133289,44.26194,-88.41528,11
134,"Lubbock, TX",TX,Texas,1140320,33.57778,-101.85472,11
134,"Harrisburg, PA",PA,Pennsylvania,1152185,40.27361,-76.88472,11
133,"Fort Wayne, IN",IN,Indiana,1144939,41.13056,-85.12889,11
133,"Wilmington, DE",DE,Delaware,1156375,39.74583,-75.54694,11
133,"Kissimmee, FL",FL,Florida,1154232,28.29167,-81.40778,11
133,"Allentown, PA",PA,Pennsylvania,1151916,40.60833,-75.49056,11
133,"Syracuse, NY",NY,New York,1132872,43.04806,-76.14778,11
132,"Amarillo, TX",TX,Texas,1139740,35.22194,-101.83083,11
132,"Albany, NY",NY,New York,1131650,42.6525,-73.75667,11
131,"Santa Ana, CA",CA,California,1146870,33.74556,-117.86694,11
131,"Round Rock, TX",TX,Texas,1139794,30.50806,-97.67861,11
131,"Winston-Salem, NC",NC,North Carolina,1139151,36.09766,-80.24728,11
131,"Marietta, GA",GA,Georgia,1155654,33.9525,-84.55,11
131,"Tallahassee, FL",FL,Florida,1154378,30.43806,-84.28083,11
131,"Tacoma, WA",WA,Washington,1150517,47.25306,-122.44306,11
131,"Shreveport, LA",LA,Louisiana,1150108,32.525,-93.75,11
129,"Parsippany, NJ",NJ,New Jersey,1126931,40.85778,-74.42639,11
128,"Saint Petersburg, FL",FL,Florida,1154421,27.77056,-82.67944,11
128,"Lancaster, PA",PA,Pennsylvania,1152360,40.03778,-76.30583,11
128,"Cedar Rapids, IA",IA,Iowa,1149160,42.00833,-91.64389,11
128,"Des Moines, IA",IA,Iowa,1149246,41.60056,-93.60889,11
127,"Green Bay, WI",WI,Wisconsin,1133406,44.51917,-88.01972,11
126,"Akron, OH",OH,Ohio,1145529,41.08139,-81.51917,11
126,"Carlsbad, CA",CA,California,1147279,33.15806,-117.34972,11
123,"Montgomery, AL",AL,Alabama,1127704,32.36667,-86.3,11
123,"Little Rock, AR",AR,Arkansas,1143190,34.74639,-92.28944,11
123,"Long Beach, CA",CA,California,1146819,33.76694,-118.18833,11
123,"Sioux Falls, SD",SD,South Dakota,1141041,43.55,-96.7,11
123,"Fremont, CA",CA,California,1147355,37.54833,-121.9875,11
122,"Bellevue, WA",WA,Washington,1150442,47.61056,-122.19944,11
122,"San Bernardino, CA",CA,California,1147140,34.10833,-117.28889,11
121,"Sarasota, FL",FL,Florida,1154350,27.33611,-82.53083,11
120,"Fort Myers, FL",FL,Florida,1154016,26.64028,-81.8725,11
118,"Alpharetta, GA",GA,Georgia,1155582,34.07528,-84.29417,11
117,"Chandler, AZ",AZ,Arizona,1133878,33.30611,-111.84056,11
116,"Grand Prairie, TX",TX,Texas,1139997,32.74583,-96.9975,11
116,"Lansing, MI",MI,Michigan,1134930,42.7325,-84.55556,11
115,"Boise, ID",ID,Idaho,1127927,43.61361,-116.2025,11
115,"Waco, TX",TX,Texas,1140600,31.54917,-97.14639,11
115,"Fargo, ND",ND,North Dakota,1156255,46.87722,-96.78944,11
113,"Bakersfield, CA",CA,California,1146557,35.37333,-119.01778,11
112,"Spartanburg, SC",SC,South Carolina,1155311,34.94944,-81.93222,11
111,"Lincoln, NE",NE,Nebraska,1136371,40.8,-96.66667,11
109,"Fairfax, VA",VA,Virginia,1130359,38.84611,-77.30667,11
109,"Stockton, CA",CA,California,1147539,37.95778,-121.28972,11
109,"Oakland, CA",CA,California,1147380,37.80444,-122.26972,11
107,"Williamsburg, VA",VA,Virginia,1130328,37.27056,-76.70778,11
107,"Norcross, GA",GA,Georgia,1155667,33.94111,-84.21361,11
107,"Marshall, MN",MN,Minnesota,1142483,44.44694,-95.78806,11
106,"Fayetteville, NC",NC,North Carolina,1138720,35.0525,-78.87861,11
105,"Franklin, TN",TN,Tennessee,1144518,35.925,-86.86889,11
104,"Florence, KY",KY,Kentucky,1137567,38.99889,-84.62667,11
104,"Lafayette, LA",LA,Louisiana,1149927,30.22389,-92.01972,11
102,"Toledo, OH",OH,Ohio,1146248,41.66389,-83.55528,11
102,"Huntington Beach, CA",CA,California,1146795,33.66028,-117.99833,11
102,"Augusta, GA",GA,Georgia,1155718,33.47083,-81.975,11
102,"Bethlehem, PA",PA,Pennsylvania,1151922,40.62583,-75.37083,11
102,"Hayward, CA",CA,California,1147358,37.66889,-122.07972,11
102,"Broomfield, CO",CO,Colorado,1148161,39.92056,-105.08611,11
101,"Mobile, AL",AL,Alabama,1127676,30.69417,-88.04306,11
100,"Bloomington, MN",MN,Minnesota,1162257,44.84083,-93.29806,11
100,"Rochester, MN",MN,Minnesota,1142638,44.02167,-92.46972,11
100,"Asheville, NC",NC,North Carolina,1138579,35.60083,-82.55417,11
99,"Newport Beach, CA",CA,California,1146837,33.61889,-117.92806,11
99,"Hagerstown, MD",MD,Maryland,1153716,39.64167,-77.72028,11
97,"Pasadena, TX",TX,Texas,1140200,29.69083,-95.20889,11
96,"Tyler, TX",TX,Texas,1140559,32.35111,-95.30083,11
96,"Naples, FL",FL,Florida,1154189,26.14167,-81.795,11
95,"Miami Beach, FL",FL,Florida,1154171,25.79028,-80.13028,11
95,"Topeka, KS",KS,Kansas,1151173,39.04833,-95.67778,11
95,"Amelia Island, FL",FL,Florida,1166017,30.61147,-81.4559,11
95,"Vancouver, WA",WA,Washington,1150413,45.63889,-122.66028,11
94,"Chesapeake, VA",VA,Virginia,1130279,36.81889,-76.27528,11
94,"Denton, TX",TX,Texas,1139980,33.21472,-97.13278,11
94,"Roswell, GA",GA,Georgia,1155681,34.02306,-84.36167,11
