numJobs,name,stateAbbreviation,stateName,id,latitude,longitude,category_id
5553,"Houston, TX",TX,Texas,1140171,29.76306,-95.36306,22
4665,"San Antonio, TX",TX,Texas,1140494,29.42389,-98.49333,22
3537,"Dallas, TX",TX,Texas,1139977,32.78333,-96.8,22
3181,"Chicago, IL",IL,Illinois,1128808,41.85,-87.65,22
3176,"Denver, CO",CO,Colorado,1148170,39.73917,-104.98417,22
2963,"Los Angeles, CA",CA,California,1146821,34.05222,-118.24278,22
2946,"Orlando, FL",FL,Florida,1154247,28.53806,-81.37944,22
2841,"Indianapolis, IN",IN,Indiana,1145013,39.76833,-86.15806,22
2821,"New York, NY",NY,New York,1132348,40.71417,-74.00639,22
2763,"Austin, TX",TX,Texas,1139761,30.26694,-97.74278,22
2543,"Las Vegas, NV",NV,Nevada,1149603,36.175,-115.13639,22
2512,"Atlanta, GA",GA,Georgia,1155583,33.74889,-84.38806,22
2449,"Phoenix, AZ",AZ,Arizona,1133904,33.44833,-112.07333,22
2259,"Columbus, OH",OH,Ohio,1145845,39.96111,-82.99889,22
2241,"Albuquerque, NM",NM,New Mexico,1137959,35.08444,-106.65056,22
2100,"Miami, FL",FL,Florida,1154170,25.77389,-80.19389,22
2064,"San Diego, CA",CA,California,1147311,32.71528,-117.15639,22
1935,"Louisville, KY",KY,Kentucky,1137724,38.25417,-85.75944,22
1934,"Charlotte, NC",NC,North Carolina,1138644,35.22694,-80.84333,22
1883,"Colorado Springs, CO",CO,Colorado,1148136,38.83389,-104.82083,22
1843,"Greensboro, NC",NC,North Carolina,1138755,36.0725,-79.79222,22
1832,"Fort Worth, TX",TX,Texas,1139993,32.72528,-97.32056,22
1832,"Washington, DC",DC,District of Columbia,1138213,38.895,-77.03667,22
1783,"Philadelphia, PA",PA,Pennsylvania,1152672,39.95222,-75.16417,22
1708,"Seattle, WA",WA,Washington,1150505,47.60639,-122.33083,22
1705,"Cincinnati, OH",OH,Ohio,1145705,39.16194,-84.45694,22
1691,"Pittsburgh, PA",PA,Pennsylvania,1152990,40.44056,-79.99611,22
1662,"Nashville, TN",TN,Tennessee,1144541,36.16583,-86.78444,22
1655,"Tampa, FL",FL,Florida,1154429,27.94722,-82.45861,22
1578,"San Jose, CA",CA,California,1147436,37.33944,-121.89389,22
1573,"Richmond, VA",VA,Virginia,1130198,37.55361,-77.46056,22
1545,"Oklahoma City, OK",OK,Oklahoma,1136950,35.4675,-97.51611,22
1510,"Saint Louis, MO",MO,Missouri,1131270,38.636864,-90.28388,22
1508,"Jacksonville, FL",FL,Florida,1154093,30.33194,-81.65583,22
1468,"San Francisco, CA",CA,California,1147401,37.775,-122.41833,22
1393,"Boston, MA",MA,Massachusetts,1154532,42.35833,-71.06028,22
1390,"Tucson, AZ",AZ,Arizona,1133996,32.22167,-110.92583,22
1355,"Portland, OR",OR,Oregon,1151614,45.52361,-122.675,22
1328,"Kansas City, MO",MO,Missouri,1131040,39.09972,-94.57833,22
1319,"Omaha, NE",NE,Nebraska,1136440,41.25861,-95.9375,22
1302,"Chattanooga, TN",TN,Tennessee,1144251,35.04556,-85.30972,22
1200,"Tulsa, OK",OK,Oklahoma,1137055,36.15389,-95.9925,22
1172,"Scottsdale, AZ",AZ,Arizona,1133911,33.50917,-111.89833,22
1120,"Minneapolis, MN",MN,Minnesota,1142551,44.98,-93.26361,22
1118,"Winston-Salem, NC",NC,North Carolina,1139151,36.09766,-80.24728,22
1099,"Knoxville, TN",TN,Tennessee,1144394,35.96056,-83.92083,22
1094,"Cleveland, OH",OH,Ohio,1145778,41.49944,-81.69556,22
1046,"Raleigh, NC",NC,North Carolina,1138960,35.77194,-78.63889,22
1027,"Virginia Beach, VA",VA,Virginia,1130324,36.85278,-75.97833,22
1012,"Wichita, KS",KS,Kansas,1151230,37.69222,-97.33722,22
1008,"El Paso, TX",TX,Texas,1140105,31.75861,-106.48639,22
980,"Baltimore, MD",MD,Maryland,1153527,39.29028,-76.6125,22
979,"Memphis, TN",TN,Tennessee,1144463,35.14944,-90.04889,22
948,"Plano, TX",TX,Texas,1140045,33.01972,-96.69861,22
917,"Baton Rouge, LA",LA,Louisiana,1149789,30.45056,-91.15444,22
914,"Aurora, CO",CO,Colorado,1148156,39.72944,-104.83139,22
910,"Charlottesville, VA",VA,Virginia,1130001,38.02917,-78.47694,22
904,"Fredericksburg, VA",VA,Virginia,1130363,38.30306,-77.46083,22
899,"Milwaukee, WI",WI,Wisconsin,1133579,43.03889,-87.90639,22
887,"New Orleans, LA",LA,Louisiana,1150035,29.95444,-90.075,22
848,"Mesa, AZ",AZ,Arizona,1133897,33.42222,-111.82194,22
825,"Salt Lake City, UT",UT,Utah,1128289,40.76083,-111.89028,22
820,"Arlington, TX",TX,Texas,1139951,32.73556,-97.10778,22
813,"Bakersfield, CA",CA,California,1146557,35.37333,-119.01778,22
793,"Fort Lauderdale, FL",FL,Florida,1154160,26.12194,-80.14361,22
782,"Birmingham, AL",AL,Alabama,1127429,33.52056,-86.8025,22
770,"Sacramento, CA",CA,California,1147229,38.58167,-121.49333,22
744,"Boise, ID",ID,Idaho,1127927,43.61361,-116.2025,22
674,"Dayton, OH",OH,Ohio,1145937,39.75889,-84.19167,22
669,"Henrico, VA",VA,Virginia,3731101,36.5925,-78.61639,22
669,"Greenville, SC",SC,South Carolina,1155193,34.8525,-82.39417,22
656,"Asheville, NC",NC,North Carolina,1138579,35.60083,-82.55417,22
655,"Midlothian, VA",VA,Virginia,1130183,37.50583,-77.64944,22
653,"Alexandria, VA",VA,Virginia,1130334,38.79755,-77.08908,22
645,"Bethesda, MD",MD,Maryland,1153817,38.98056,-77.10056,22
644,"Grand Rapids, MI",MI,Michigan,1134796,42.96333,-85.66806,22
644,"Madison, WI",WI,Wisconsin,1133470,43.07306,-89.40111,22
638,"Overland Park, KS",KS,Kansas,1151049,38.98222,-94.67056,22
628,"Irving, TX",TX,Texas,1140006,32.81389,-96.94861,22
615,"Fresno, CA",CA,California,1146705,36.74778,-119.77139,22
613,"Hagerstown, MD",MD,Maryland,1153716,39.64167,-77.72028,22
609,"Lubbock, TX",TX,Texas,1140320,33.57778,-101.85472,22
596,"Columbia, SC",SC,South Carolina,1155132,34.00056,-81.035,22
592,"Springfield, MO",MO,Missouri,1131348,37.21528,-93.29806,22
577,"Harrisonburg, VA",VA,Virginia,1130069,38.44944,-78.86917,22
574,"Williamsburg, VA",VA,Virginia,1130328,37.27056,-76.70778,22
568,"Little Rock, AR",AR,Arkansas,1143190,34.74639,-92.28944,22
