numJobs,name,stateAbbreviation,stateName,id,latitude,longitude,category_id
9882,"New York, NY",NY,New York,1132348,40.71417,-74.00639,1
5580,"Chicago, IL",IL,Illinois,1128808,41.85,-87.65,1
3852,"Houston, TX",TX,Texas,1140171,29.76306,-95.36306,1
3727,"Atlanta, GA",GA,Georgia,1155583,33.74889,-84.38806,1
3686,"Dallas, TX",TX,Texas,1139977,32.78333,-96.8,1
3599,"San Francisco, CA",CA,California,1147401,37.775,-122.41833,1
3471,"Los Angeles, CA",CA,California,1146821,34.05222,-118.24278,1
3149,"Boston, MA",MA,Massachusetts,1154532,42.35833,-71.06028,1
2969,"Washington, DC",DC,District of Columbia,1138213,38.895,-77.03667,1
2192,"Seattle, WA",WA,Washington,1150505,47.60639,-122.33083,1
2131,"Pittsburgh, PA",PA,Pennsylvania,1152990,40.44056,-79.99611,1
2110,"Philadelphia, PA",PA,Pennsylvania,1152672,39.95222,-75.16417,1
2083,"Phoenix, AZ",AZ,Arizona,1133904,33.44833,-112.07333,1
2080,"Austin, TX",TX,Texas,1139761,30.26694,-97.74278,1
1987,"San Diego, CA",CA,California,1147311,32.71528,-117.15639,1
1890,"Charlotte, NC",NC,North Carolina,1138644,35.22694,-80.84333,1
1849,"Denver, CO",CO,Colorado,1148170,39.73917,-104.98417,1
1724,"San Antonio, TX",TX,Texas,1140494,29.42389,-98.49333,1
1710,"Saint Louis, MO",MO,Missouri,1131270,38.636864,-90.28388,1
1636,"Indianapolis, IN",IN,Indiana,1145013,39.76833,-86.15806,1
1558,"Tampa, FL",FL,Florida,1154429,27.94722,-82.45861,1
1496,"Miami, FL",FL,Florida,1154170,25.77389,-80.19389,1
1434,"Columbus, OH",OH,Ohio,1145845,39.96111,-82.99889,1
1428,"Orlando, FL",FL,Florida,1154247,28.53806,-81.37944,1
1380,"Cincinnati, OH",OH,Ohio,1145705,39.16194,-84.45694,1
1374,"Portland, OR",OR,Oregon,1151614,45.52361,-122.675,1
1369,"Minneapolis, MN",MN,Minnesota,1142551,44.98,-93.26361,1
1343,"Nashville, TN",TN,Tennessee,1144541,36.16583,-86.78444,1
1299,"San Jose, CA",CA,California,1147436,37.33944,-121.89389,1
1263,"Las Vegas, NV",NV,Nevada,1149603,36.175,-115.13639,1
1234,"Baltimore, MD",MD,Maryland,1153527,39.29028,-76.6125,1
1179,"Cleveland, OH",OH,Ohio,1145778,41.49944,-81.69556,1
1127,"Irvine, CA",CA,California,1146798,33.66944,-117.82222,1
1115,"Jacksonville, FL",FL,Florida,1154093,30.33194,-81.65583,1
1063,"McLean, VA",VA,Virginia,1158535,38.93417,-77.17778,1
1043,"Louisville, KY",KY,Kentucky,1137724,38.25417,-85.75944,1
1035,"Kansas City, MO",MO,Missouri,1131040,39.09972,-94.57833,1
1021,"Richmond, VA",VA,Virginia,1130198,37.55361,-77.46056,1
1013,"Salt Lake City, UT",UT,Utah,1128289,40.76083,-111.89028,1
941,"Milwaukee, WI",WI,Wisconsin,1133579,43.03889,-87.90639,1
936,"Sacramento, CA",CA,California,1147229,38.58167,-121.49333,1
908,"Irving, TX",TX,Texas,1140006,32.81389,-96.94861,1
866,"Fort Worth, TX",TX,Texas,1139993,32.72528,-97.32056,1
866,"Detroit, MI",MI,Michigan,1134644,42.33139,-83.04583,1
864,"Omaha, NE",NE,Nebraska,1136440,41.25861,-95.9375,1
850,"Raleigh, NC",NC,North Carolina,1138960,35.77194,-78.63889,1
848,"Oklahoma City, OK",OK,Oklahoma,1136950,35.4675,-97.51611,1
822,"Arlington, VA",VA,Virginia,1130337,38.89028,-77.08444,1
812,"Memphis, TN",TN,Tennessee,1144463,35.14944,-90.04889,1
700,"Fort Lauderdale, FL",FL,Florida,1154160,26.12194,-80.14361,1
650,"Tucson, AZ",AZ,Arizona,1133996,32.22167,-110.92583,1
638,"Bellevue, WA",WA,Washington,1150442,47.61056,-122.19944,1
600,"Birmingham, AL",AL,Alabama,1127429,33.52056,-86.8025,1
583,"Plano, TX",TX,Texas,1140045,33.01972,-96.69861,1
579,"Scottsdale, AZ",AZ,Arizona,1133911,33.50917,-111.89833,1
577,"Alpharetta, GA",GA,Georgia,1155582,34.07528,-84.29417,1
570,"Buffalo, NY",NY,New York,1131850,42.88639,-78.87861,1
558,"Stamford, CT",CT,Connecticut,1148355,41.05333,-73.53917,1
555,"Tulsa, OK",OK,Oklahoma,1137055,36.15389,-95.9925,1
549,"Madison, WI",WI,Wisconsin,1133470,43.07306,-89.40111,1
543,"Des Moines, IA",IA,Iowa,1149246,41.60056,-93.60889,1
542,"Jersey City, NJ",NJ,New Jersey,1126819,40.72806,-74.07806,1
516,"Rochester, NY",NY,New York,1132765,43.15472,-77.61583,1
503,"Knoxville, TN",TN,Tennessee,1144394,35.96056,-83.92083,1
498,"Albuquerque, NM",NM,New Mexico,1137959,35.08444,-106.65056,1
494,"Hartford, CT",CT,Connecticut,1148399,41.76361,-72.68556,1
494,"Grand Rapids, MI",MI,Michigan,1134796,42.96333,-85.66806,1
486,"Boca Raton, FL",FL,Florida,1154153,26.35833,-80.08333,1
479,"Overland Park, KS",KS,Kansas,1151049,38.98222,-94.67056,1
461,"New Orleans, LA",LA,Louisiana,1150035,29.95444,-90.075,1
