numJobs,name,stateAbbreviation,stateName,id,latitude,longitude,category_id
1237,"New York, NY",NY,New York,1132348,40.71417,-74.00639,26
1173,"Houston, TX",TX,Texas,1140171,29.76306,-95.36306,26
957,"Chicago, IL",IL,Illinois,1128808,41.85,-87.65,26
841,"Washington, DC",DC,District of Columbia,1138213,38.895,-77.03667,26
785,"Los Angeles, CA",CA,California,1146821,34.05222,-118.24278,26
746,"Atlanta, GA",GA,Georgia,1155583,33.74889,-84.38806,26
626,"Philadelphia, PA",PA,Pennsylvania,1152672,39.95222,-75.16417,26
619,"Dallas, TX",TX,Texas,1139977,32.78333,-96.8,26
569,"Las Vegas, NV",NV,Nevada,1149603,36.175,-115.13639,26
546,"San Francisco, CA",CA,California,1147401,37.775,-122.41833,26
518,"Phoenix, AZ",AZ,Arizona,1133904,33.44833,-112.07333,26
516,"San Antonio, TX",TX,Texas,1140494,29.42389,-98.49333,26
503,"Orlando, FL",FL,Florida,1154247,28.53806,-81.37944,26
498,"Boston, MA",MA,Massachusetts,1154532,42.35833,-71.06028,26
484,"Seattle, WA",WA,Washington,1150505,47.60639,-122.33083,26
465,"San Diego, CA",CA,California,1147311,32.71528,-117.15639,26
458,"Miami, FL",FL,Florida,1154170,25.77389,-80.19389,26
450,"Denver, CO",CO,Colorado,1148170,39.73917,-104.98417,26
432,"Portland, OR",OR,Oregon,1151614,45.52361,-122.675,26
417,"Nashville, TN",TN,Tennessee,1144541,36.16583,-86.78444,26
410,"Columbus, OH",OH,Ohio,1145845,39.96111,-82.99889,26
402,"Austin, TX",TX,Texas,1139761,30.26694,-97.74278,26
399,"Saint Louis, MO",MO,Missouri,1131270,38.636864,-90.28388,26
380,"Indianapolis, IN",IN,Indiana,1145013,39.76833,-86.15806,26
380,"Baltimore, MD",MD,Maryland,1153527,39.29028,-76.6125,26
373,"Louisville, KY",KY,Kentucky,1137724,38.25417,-85.75944,26
358,"Charlotte, NC",NC,North Carolina,1138644,35.22694,-80.84333,26
346,"Pittsburgh, PA",PA,Pennsylvania,1152990,40.44056,-79.99611,26
339,"Cincinnati, OH",OH,Ohio,1145705,39.16194,-84.45694,26
325,"San Jose, CA",CA,California,1147436,37.33944,-121.89389,26
324,"Tampa, FL",FL,Florida,1154429,27.94722,-82.45861,26
298,"Jacksonville, FL",FL,Florida,1154093,30.33194,-81.65583,26
274,"Kansas City, MO",MO,Missouri,1131040,39.09972,-94.57833,26
273,"Memphis, TN",TN,Tennessee,1144463,35.14944,-90.04889,26
260,"Sacramento, CA",CA,California,1147229,38.58167,-121.49333,26
257,"Albuquerque, NM",NM,New Mexico,1137959,35.08444,-106.65056,26
253,"Richmond, VA",VA,Virginia,1130198,37.55361,-77.46056,26
239,"Fort Worth, TX",TX,Texas,1139993,32.72528,-97.32056,26
236,"Arlington, VA",VA,Virginia,1130337,38.89028,-77.08444,26
225,"Raleigh, NC",NC,North Carolina,1138960,35.77194,-78.63889,26
218,"Salt Lake City, UT",UT,Utah,1128289,40.76083,-111.89028,26
215,"Minneapolis, MN",MN,Minnesota,1142551,44.98,-93.26361,26
206,"Milwaukee, WI",WI,Wisconsin,1133579,43.03889,-87.90639,26
201,"New Orleans, LA",LA,Louisiana,1150035,29.95444,-90.075,26
196,"Detroit, MI",MI,Michigan,1134644,42.33139,-83.04583,26
192,"Cleveland, OH",OH,Ohio,1145778,41.49944,-81.69556,26
187,"Fort Lauderdale, FL",FL,Florida,1154160,26.12194,-80.14361,26
181,"Aurora, CO",CO,Colorado,1148156,39.72944,-104.83139,26
179,"Brooklyn, NY",NY,New York,1132200,40.65,-73.95,26
178,"Tulsa, OK",OK,Oklahoma,1137055,36.15389,-95.9925,26
175,"Omaha, NE",NE,Nebraska,1136440,41.25861,-95.9375,26
172,"Chantilly, VA",VA,Virginia,1130353,38.89417,-77.43139,26
169,"Reno, NV",NV,Nevada,1149627,39.52972,-119.81278,26
