numJobs,name,stateAbbreviation,stateName,id,latitude,longitude,category_id
2626,"New York, NY",NY,New York,1132348,40.71417,-74.00639,32
769,"San Francisco, CA",CA,California,1147401,37.775,-122.41833,32
697,"Washington, DC",DC,District of Columbia,1138213,38.895,-77.03667,32
669,"Chicago, IL",IL,Illinois,1128808,41.85,-87.65,32
513,"Los Angeles, CA",CA,California,1146821,34.05222,-118.24278,32
476,"Boston, MA",MA,Massachusetts,1154532,42.35833,-71.06028,32
474,"Atlanta, GA",GA,Georgia,1155583,33.74889,-84.38806,32
357,"Houston, TX",TX,Texas,1140171,29.76306,-95.36306,32
357,"Seattle, WA",WA,Washington,1150505,47.60639,-122.33083,32
317,"Philadelphia, PA",PA,Pennsylvania,1152672,39.95222,-75.16417,32
285,"Dallas, TX",TX,Texas,1139977,32.78333,-96.8,32
280,"San Diego, CA",CA,California,1147311,32.71528,-117.15639,32
273,"Arlington, VA",VA,Virginia,1130337,38.89028,-77.08444,32
239,"Austin, TX",TX,Texas,1139761,30.26694,-97.74278,32
232,"San Jose, CA",CA,California,1147436,37.33944,-121.89389,32
229,"Phoenix, AZ",AZ,Arizona,1133904,33.44833,-112.07333,32
189,"Denver, CO",CO,Colorado,1148170,39.73917,-104.98417,32
185,"Baltimore, MD",MD,Maryland,1153527,39.29028,-76.6125,32
165,"San Antonio, TX",TX,Texas,1140494,29.42389,-98.49333,32
165,"Minneapolis, MN",MN,Minnesota,1142551,44.98,-93.26361,32
163,"Indianapolis, IN",IN,Indiana,1145013,39.76833,-86.15806,32
157,"Reston, VA",VA,Virginia,1130404,38.96861,-77.34139,32
157,"Saint Louis, MO",MO,Missouri,1131270,38.636864,-90.28388,32
152,"Detroit, MI",MI,Michigan,1134644,42.33139,-83.04583,32
140,"Las Vegas, NV",NV,Nevada,1149603,36.175,-115.13639,32
139,"Charlotte, NC",NC,North Carolina,1138644,35.22694,-80.84333,32
138,"Orlando, FL",FL,Florida,1154247,28.53806,-81.37944,32
137,"Pittsburgh, PA",PA,Pennsylvania,1152990,40.44056,-79.99611,32
135,"Fort Worth, TX",TX,Texas,1139993,32.72528,-97.32056,32
134,"Cambridge, MA",MA,Massachusetts,1154545,42.375,-71.10611,32
134,"Jacksonville, FL",FL,Florida,1154093,30.33194,-81.65583,32
134,"Columbus, OH",OH,Ohio,1145845,39.96111,-82.99889,32
132,"Irvine, CA",CA,California,1146798,33.66944,-117.82222,32
129,"Cincinnati, OH",OH,Ohio,1145705,39.16194,-84.45694,32
129,"Santa Clara, CA",CA,California,1147439,37.35417,-121.95417,32
128,"Portland, OR",OR,Oregon,1151614,45.52361,-122.675,32
126,"Annapolis Junction, MD",MD,Maryland,1153524,39.121613,-76.79043,32
126,"Raleigh, NC",NC,North Carolina,1138960,35.77194,-78.63889,32
125,"Tampa, FL",FL,Florida,1154429,27.94722,-82.45861,32
124,"Miami, FL",FL,Florida,1154170,25.77389,-80.19389,32
123,"McLean, VA",VA,Virginia,1158535,38.93417,-77.17778,32
120,"Nashville, TN",TN,Tennessee,1144541,36.16583,-86.78444,32
112,"Kansas City, MO",MO,Missouri,1131040,39.09972,-94.57833,32
112,"Fort Meade, MD",MD,Maryland,1165756,39.10815,-76.74323,32
109,"Brooklyn, NY",NY,New York,1132200,40.65,-73.95,32
107,"Waltham, MA",MA,Massachusetts,1154703,42.37639,-71.23611,32
105,"Salt Lake City, UT",UT,Utah,1128289,40.76083,-111.89028,32
105,"Mountain View, CA",CA,California,1147431,37.38611,-122.08278,32
104,"San Mateo, CA",CA,California,1147406,37.56306,-122.32444,32
102,"Louisville, KY",KY,Kentucky,1137724,38.25417,-85.75944,32
96,"Milwaukee, WI",WI,Wisconsin,1133579,43.03889,-87.90639,32
95,"Fort Lauderdale, FL",FL,Florida,1154160,26.12194,-80.14361,32
95,"Redmond, WA",WA,Washington,1150499,47.67417,-122.12028,32
95,"Redwood City, CA",CA,California,1147394,37.48528,-122.23528,32
94,"Palo Alto, CA",CA,California,1147434,37.44194,-122.14194,32
93,"Princeton, NJ",NJ,New Jersey,1127179,40.34861,-74.65944,32
93,"Alexandria, VA",VA,Virginia,1130334,38.79755,-77.08908,32
90,"Englewood, CO",CO,Colorado,1148176,39.64778,-104.98722,32
89,"Durham, NC",NC,North Carolina,1138697,35.99389,-78.89889,32
84,"Huntsville, AL",AL,Alabama,1127653,34.73028,-86.58611,32
83,"Menlo Park, CA",CA,California,1147371,37.45389,-122.18111,32
81,"Richmond, VA",VA,Virginia,1130198,37.55361,-77.46056,32
80,"Birmingham, AL",AL,Alabama,1127429,33.52056,-86.8025,32
80,"Chantilly, VA",VA,Virginia,1130353,38.89417,-77.43139,32
79,"Bellevue, WA",WA,Washington,1150442,47.61056,-122.19944,32
77,"Oklahoma City, OK",OK,Oklahoma,1136950,35.4675,-97.51611,32
77,"Sunnyvale, CA",CA,California,1147442,37.36889,-122.03528,32
77,"Folsom, CA",CA,California,1147188,38.67806,-121.175,32
77,"Sacramento, CA",CA,California,1147229,38.58167,-121.49333,32
76,"Omaha, NE",NE,Nebraska,1136440,41.25861,-95.9375,32
76,"Parsippany, NJ",NJ,New Jersey,1126931,40.85778,-74.42639,32
76,"Cleveland, OH",OH,Ohio,1145778,41.49944,-81.69556,32
75,"Bethesda, MD",MD,Maryland,1153817,38.98056,-77.10056,32
75,"Albuquerque, NM",NM,New Mexico,1137959,35.08444,-106.65056,32
74,"Fairfax, VA",VA,Virginia,1130359,38.84611,-77.30667,32
72,"El Segundo, CA",CA,California,1146779,33.91917,-118.41556,32
71,"Santa Monica, CA",CA,California,1146873,34.01944,-118.49028,32
69,"Columbia, MD",MD,Maryland,1153546,39.24028,-76.83972,32
69,"Madison, WI",WI,Wisconsin,1133470,43.07306,-89.40111,32
67,"Norfolk, VA",VA,Virginia,1130306,36.84667,-76.28556,32
67,"Greensboro, NC",NC,North Carolina,1138755,36.0725,-79.79222,32
67,"Oakland, CA",CA,California,1147380,37.80444,-122.26972,32
66,"Colorado Springs, CO",CO,Colorado,1148136,38.83389,-104.82083,32
65,"Burbank, CA",CA,California,1146756,34.18083,-118.30806,32
65,"Tulsa, OK",OK,Oklahoma,1137055,36.15389,-95.9925,32
62,"Rockville, MD",MD,Maryland,1153899,39.08389,-77.15306,32
62,"Memphis, TN",TN,Tennessee,1144463,35.14944,-90.04889,32
62,"Plano, TX",TX,Texas,1140045,33.01972,-96.69861,32
62,"Alpharetta, GA",GA,Georgia,1155582,34.07528,-84.29417,32
60,"Reno, NV",NV,Nevada,1149627,39.52972,-119.81278,32
60,"Tucson, AZ",AZ,Arizona,1133996,32.22167,-110.92583,32
60,"Aurora, CO",CO,Colorado,1148156,39.72944,-104.83139,32
58,"Charleston, SC",SC,South Carolina,1155074,32.77639,-79.93111,32
57,"Herndon, VA",VA,Virginia,1130374,38.96944,-77.38639,32
57,"Irving, TX",TX,Texas,1140006,32.81389,-96.94861,32
56,"Dayton, OH",OH,Ohio,1145937,39.75889,-84.19167,32
56,"Scottsdale, AZ",AZ,Arizona,1133911,33.50917,-111.89833,32
55,"Little Rock, AR",AR,Arkansas,1143190,34.74639,-92.28944,32
55,"New Orleans, LA",LA,Louisiana,1150035,29.95444,-90.075,32
54,"Gaithersburg, MD",MD,Maryland,1153852,39.14333,-77.20167,32
54,"El Paso, TX",TX,Texas,1140105,31.75861,-106.48639,32
53,"Boca Raton, FL",FL,Florida,1154153,26.35833,-80.08333,32
53,"Rochester, NY",NY,New York,1132765,43.15472,-77.61583,32
52,"Culver City, CA",CA,California,1146771,34.02111,-118.39556,32
52,"Costa Mesa, CA",CA,California,1146769,33.64111,-117.91778,32
52,"Albany, NY",NY,New York,1131650,42.6525,-73.75667,32
51,"Newark, NJ",NJ,New Jersey,1126906,40.73556,-74.17278,32
51,"Bloomington, IN",IN,Indiana,1144789,39.16528,-86.52639,32
51,"Virginia Beach, VA",VA,Virginia,1130324,36.85278,-75.97833,32
51,"Eden Prairie, MN",MN,Minnesota,1142521,44.85472,-93.47056,32
49,"Bronx, NY",NY,New York,1132197,40.85,-73.86667,32
48,"Chattanooga, TN",TN,Tennessee,1144251,35.04556,-85.30972,32
48,"Vienna, VA",VA,Virginia,1130417,38.90111,-77.26556,32
48,"Buffalo, NY",NY,New York,1131850,42.88639,-78.87861,32
48,"Des Moines, IA",IA,Iowa,1149246,41.60056,-93.60889,32
48,"Columbia, SC",SC,South Carolina,1155132,34.00056,-81.035,32
47,"Boise, ID",ID,Idaho,1127927,43.61361,-116.2025,32
46,"Ann Arbor, MI",MI,Michigan,1134560,42.27083,-83.72639,32
45,"Hanover, MD",MD,Maryland,1153584,39.19278,-76.72444,32
45,"Saint Petersburg, FL",FL,Florida,1154421,27.77056,-82.67944,32
45,"Stamford, CT",CT,Connecticut,1148355,41.05333,-73.53917,32
44,"Jersey City, NJ",NJ,New Jersey,1126819,40.72806,-74.07806,32
44,"Brentwood, TN",TN,Tennessee,1144496,36.000107,-86.78849,32
44,"Auburn Hills, MI",MI,Michigan,1134622,42.6875,-83.23417,32
44,"Torrance, CA",CA,California,1146894,33.83583,-118.33972,32
43,"Long Beach, CA",CA,California,1146819,33.76694,-118.18833,32
43,"Saint Paul, MN",MN,Minnesota,1142575,44.94444,-93.09306,32
43,"Carlsbad, CA",CA,California,1147279,33.15806,-117.34972,32
42,"Lansing, MI",MI,Michigan,1134930,42.7325,-84.55556,32
42,"Santa Ana, CA",CA,California,1146870,33.74556,-117.86694,32
42,"Honolulu, HI",HI,Hawaii,1140656,21.30694,-157.85834,32
42,"Hartford, CT",CT,Connecticut,1148399,41.76361,-72.68556,32
41,"Grand Rapids, MI",MI,Michigan,1134796,42.96333,-85.66806,32
41,"Fresno, CA",CA,California,1146705,36.74778,-119.77139,32
41,"Redlands, CA",CA,California,1147135,34.05556,-117.18167,32
40,"Silver Spring, MD",MD,Maryland,1153904,38.99056,-77.02639,32
40,"Winston-Salem, NC",NC,North Carolina,1139151,36.09766,-80.24728,32
39,"Greenville, SC",SC,South Carolina,1155193,34.8525,-82.39417,32
38,"Pensacola, FL",FL,Florida,1154318,30.42111,-87.21694,32
38,"Fremont, CA",CA,California,1147355,37.54833,-121.9875,32
37,"Lincoln, NE",NE,Nebraska,1136371,40.8,-96.66667,32
37,"Fort Myers, FL",FL,Florida,1154016,26.64028,-81.8725,32
37,"Knoxville, TN",TN,Tennessee,1144394,35.96056,-83.92083,32
37,"Overland Park, KS",KS,Kansas,1151049,38.98222,-94.67056,32
36,"West Palm Beach, FL",FL,Florida,1154182,26.715,-80.05361,32
36,"Glendale, CA",CA,California,1146787,34.1425,-118.25417,32
36,"King of Prussia, PA",PA,Pennsylvania,1152620,40.08917,-75.39639,32
36,"Akron, OH",OH,Ohio,1145529,41.08139,-81.51917,32
35,"Lexington, MA",MA,Massachusetts,1154599,42.44722,-71.225,32
35,"Wilmington, NC",NC,North Carolina,1139117,34.22556,-77.945,32
35,"Cary, NC",NC,North Carolina,1138945,35.79139,-78.78139,32
34,"Frederick, MD",MD,Maryland,1153851,39.41417,-77.41083,32
34,"Gainesville, FL",FL,Florida,1154062,29.65139,-82.325,32
34,"Horsham, PA",PA,Pennsylvania,1152611,40.17833,-75.12889,32
34,"Henderson, NV",NV,Nevada,1149600,36.03972,-114.98111,32
34,"Baton Rouge, LA",LA,Louisiana,1149789,30.45056,-91.15444,32
34,"Lubbock, TX",TX,Texas,1140320,33.57778,-101.85472,32
34,"Tempe, AZ",AZ,Arizona,1133917,33.41472,-111.90861,32
34,"Syracuse, NY",NY,New York,1132872,43.04806,-76.14778,32
33,"Bentonville, AR",AR,Arkansas,1143031,36.37278,-94.20861,32
33,"Charlottesville, VA",VA,Virginia,1130001,38.02917,-78.47694,32
33,"White Plains, NY",NY,New York,1132464,41.03389,-73.76333,32
33,"Fayetteville, NC",NC,North Carolina,1138720,35.0525,-78.87861,32
33,"South San Francisco, CA",CA,California,1147412,37.65472,-122.40667,32
33,"Greenwood Village, Arapahoe, CO",CO,Colorado,1164301,39.61722,-104.95028,32
33,"Augusta, GA",GA,Georgia,1155718,33.47083,-81.975,32
33,"Boulder, CO",CO,Colorado,1148112,40.015,-105.27,32
32,"Bloomington, MN",MN,Minnesota,1162257,44.84083,-93.29806,32
32,"Framingham, MA",MA,Massachusetts,1154571,42.27917,-71.41667,32
32,"Troy, MI",MI,Michigan,1134737,42.60556,-83.15,32
32,"Thousand Oaks, CA",CA,California,1146988,34.17056,-118.83667,32
32,"Savannah, GA",GA,Georgia,1155906,32.08333,-81.1,32
31,"Bakersfield, CA",CA,California,1146557,35.37333,-119.01778,32
31,"Anaheim, CA",CA,California,1146743,33.83528,-117.91361,32
31,"Pasadena, CA",CA,California,1146850,34.14778,-118.14361,32
31,"Morrisville, NC",NC,North Carolina,1138956,35.82333,-78.82583,32
31,"Pleasanton, CA",CA,California,1147390,37.6625,-121.87361,32
30,"Newton, MA",MA,Massachusetts,1154636,42.33694,-71.20972,32
30,"Southfield, MI",MI,Michigan,1134732,42.47333,-83.22194,32
30,"Northbrook, IL",IL,Illinois,1128934,42.1275,-87.82889,32
30,"Tarrytown, NY",NY,New York,1132438,41.079224,-73.85868,32
30,"Long Island City, NY",NY,New York,1132310,40.756947,-73.928795,32
30,"West Des Moines, IA",IA,Iowa,1149284,41.57722,-93.71111,32
30,"Remote, OR",OR,Oregon,1165008,43.00611,-123.89139,32
29,"Suitland, MD",MD,Maryland,1153909,38.84861,-76.92417,32
29,"Eagan, MN",MN,Minnesota,1162274,44.80417,-93.16667,32
29,"Canton, OH",OH,Ohio,1145650,40.79889,-81.37861,32
29,"Cedar Rapids, IA",IA,Iowa,1149160,42.00833,-91.64389,32
29,"Springfield, MO",MO,Missouri,1131348,37.21528,-93.29806,32
29,"San Bruno, CA",CA,California,1147399,37.63056,-122.41,32
29,"Marietta, GA",GA,Georgia,1155654,33.9525,-84.55,32
28,"Burlington, MA",MA,Massachusetts,1154543,42.50472,-71.19611,32
28,"Tallahassee, FL",FL,Florida,1154378,30.43806,-84.28083,32
28,"Clearwater, FL",FL,Florida,1154388,27.96556,-82.80028,32
28,"Springfield, VA",VA,Virginia,1130409,38.791557,-77.18702,32
28,"Harrisburg, PA",PA,Pennsylvania,1152185,40.27361,-76.88472,32
28,"Falls Church, VA",VA,Virginia,1130361,38.88222,-77.17139,32
28,"Lafayette, LA",LA,Louisiana,1149927,30.22389,-92.01972,32
28,"Davenport, IA",IA,Iowa,1149216,41.52361,-90.5775,32
28,"Santa Barbara, CA",CA,California,1147473,34.42083,-119.69722,32
28,"Glendale, AZ",AZ,Arizona,1133888,33.53861,-112.18528,32
28,"Fargo, ND",ND,North Dakota,1156255,46.87722,-96.78944,32
28,"Bristol, CT",CT,Connecticut,1148368,41.67167,-72.94972,32
27,"East Hanover, NJ",NJ,New Jersey,1126743,40.82,-74.36528,32
27,"Aberdeen, MD",MD,Maryland,1153520,39.50944,-76.16444,32
27,"Allentown, PA",PA,Pennsylvania,1151916,40.60833,-75.49056,32
27,"Fort Sill, OK",OK,Oklahoma,1136868,34.66356,-98.44296,32
27,"Newport News, VA",VA,Virginia,1130305,36.97861,-76.42833,32
27,"Denton, TX",TX,Texas,1139980,33.21472,-97.13278,32
27,"Sioux Falls, SD",SD,South Dakota,1141041,43.55,-96.7,32
26,"Natick, MA",MA,Massachusetts,1154630,42.28333,-71.35,32
26,"Ogden, UT",UT,Utah,1128221,41.22306,-111.97306,32
26,"Salem, OR",OR,Oregon,1151682,44.94306,-123.03389,32
26,"Richardson, TX",TX,Texas,1140053,32.94806,-96.72944,32
26,"Vancouver, WA",WA,Washington,1150413,45.63889,-122.66028,32
26,"Milpitas, CA",CA,California,1147428,37.42833,-121.90556,32
